Page URL,Page Type,Current H1,Target Keyword,Suggested H1,SEO Priority,Ad Targeted?,Data File,Field Name,Notes
/,Homepage,"Run a more profitable hospitality business — from your phone.","restaurant POS, POS system for restaurants","Restaurant POS that runs your whole business — billing, kitchen and inventory from your phone.",HIGH,Yes,src/pages/Home.jsx,EditableText fallback: home.hero.title_lead + home.hero.title_accent,Requires separate decision — highest visibility page. Consider A/B test before changing.
/solutions/restaurants,Sector,"Turn tables faster, kill order errors, and see profit per table.","restaurant POS, restaurant billing software","Restaurant POS software — faster tables, fewer errors, and more profit per cover.",HIGH,Yes,src/data/sectors.js,SECTOR_PAGES.restaurants.h1,Phase 1 priority — highest ad spend sector
/solutions/qsr,Sector,"More covers per hour — and every cash drawer locked down.","QSR POS, fast food billing software, QSR billing","QSR POS & billing software — more covers per hour and every cash drawer locked down.",HIGH,Yes,src/data/sectors.js,SECTOR_PAGES.qsr.h1,Phase 1 priority — high ad spend
/solutions/cloud-kitchens,Sector,"Every brand and every aggregator — one screen, one inventory.","cloud kitchen POS, cloud kitchen software","Cloud kitchen POS — every brand and aggregator on one screen, one inventory.",HIGH,Yes,src/data/sectors.js,SECTOR_PAGES.cloud-kitchens.h1,Phase 1 priority — CR-83 original scope
/product/sell-serve,Product,"Bill in seconds. Serve more covers. Lose zero orders.","restaurant POS software, restaurant billing software","Restaurant POS & billing software — bill in seconds, serve more covers, lose zero orders.",HIGH,Yes,src/data/products.js,PRODUCT_PAGES.sell-serve.h1,Phase 1 priority — CR-83 original scope
/product/see-everything,Product,"Total visibility — every outlet, live, from your phone.","restaurant management software, restaurant dashboard","Restaurant management software — total visibility from every outlet, live on your phone.",HIGH,Yes,src/data/products.js,PRODUCT_PAGES.see-everything.h1,Phase 1 priority — CR-83 original scope
/solutions/cafes,Sector,"Protect every margin — and turn first-timers into regulars.","cafe POS, coffee shop POS, cafe billing software","Café POS system — protect every margin and turn first-timers into regulars.",MEDIUM,No,src/data/sectors.js,SECTOR_PAGES.cafes.h1,Phase 2
/solutions/hotels-resorts,Sector,"Run your entire property on one app — rooms, restaurant, spa, and bar. Even offline.","hotel POS, hotel management software, hotel billing","Hotel POS system — rooms, restaurant, spa and bar on one app. Works even offline.",MEDIUM,No,src/data/sectors.js,SECTOR_PAGES.hotels-resorts.h1,Phase 2
/solutions/food-courts,Sector,"One wallet, many counters, zero reconciliation headaches.","food court POS, food court billing software","Food court POS — one shared wallet, many counters, zero reconciliation headaches.",MEDIUM,No,src/data/sectors.js,SECTOR_PAGES.food-courts.h1,Phase 2
/solutions/chains,Sector,"Control every outlet from one dashboard — without flying to each one.","multi-outlet POS, franchise POS, chain restaurant POS","Multi-outlet POS for chains & franchises — control every outlet from one dashboard.",MEDIUM,No,src/data/sectors.js,SECTOR_PAGES.chains.h1,Phase 2
/product/run-property,Product,"One app for rooms, restaurant, food court, and beyond.","hotel POS, property management POS","Hotel & property management POS — rooms, restaurant and food court on one app.",MEDIUM,No,src/data/products.js,PRODUCT_PAGES.run-property.h1,Phase 2
